lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,81A,ttr_flores,rttr_flores,mattr_flores,ttr,msp,ws,wh,lh,is,mfh,-ia,h_dep,h_codep,SO_prop,head_finality,wiki_size
plt_Latn,plt,mal,Latn,plat1254,Plateau Malagasy,Austronesian,Barito,1.0,0.5,0.68,0.5093,0.2736,0.6,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,0.2435938427807975,36.04283512086685,0.5637397401140565,,,,,,,,,,,,,97576.0
pol_Latn,pol,pol,Latn,poli1260,Polish,Indo-European,Slavic,0.9,0.1,0.59,0.5472,0.2804,0.5,,,,,,,,,2.0,,,,2.0,0.3831338981570443,57.97614758270637,0.6492616634671395,0.41142625,1.470589479,0.4674302978,11.22041198,10.303765575,10.0,3.9787162085,-0.2875060689499999,0.5495061104256599,0.8375117626189994,,0.375,1622682.0
por_Latn,por,por,Latn,braz1246,Portuguese (Brazilian),Indo-European,Romance,0.9,0.1,0.47,0.4235,0.5687,0.5,,,,,,,,,2.0,3.0,,,2.0,0.2495812395309882,40.45064407849594,0.5495533392836585,0.286788,1.269971018,0.4226377998,9.307546317,8.717849644,7.0,3.346369016,-0.512995031,0.467103519419221,0.5343837013373006,-0.986119914115433,0.355,1129019.0
prs_Arab,prs,dri,Arab,dari1249,Dari,Indo-European,Iranian,0.9,0.3,1.0,0.5983,0.5687,1.0,,,,,,,,,,1.0,,,,0.2346034655842171,35.51047208240362,0.5987049794752735,,,,,,,,,,,,,
quy_Latn,quy,qay,Latn,ayac1239,Ayacucho Quechua,Quechuan,Quechuan,1.0,0.5,0.92,0.6526,0.5687,0.8,,,,,,,,,,1.0,,,,0.5238445588923818,64.05271723545484,0.805168557985066,,,,,,,,,,,,,24048.0
ron_Latn,ron,rom,Latn,roma1327,Romanian,Indo-European,Romance,0.9,0.1,0.53,0.4997,0.3498,0.5,,,,,,,,,2.0,,,,2.0,0.2775185185185185,45.600945815402326,0.5711460699596136,0.2758895,1.7756726315,0.42018721275,9.999405354,8.8749691385,8.05,3.883758134,-0.3030110949,0.4653150268693714,0.580213481410375,-0.965765792144921,0.29,464475.0
run_Latn,run,rnd,Latn,rund1242,Rundi,Niger-Congo,Bantu,1.0,0.3,0.95,0.5119,0.5687,0.7,,,,,,,,,,1.0,,,,0.3516313823163138,49.82134008405293,0.6842439722108671,,,,,,,,,,,,,654.0
rus_Cyrl,rus,rus,Cyrl,russ1263,Russian,Indo-European,Slavic,0.9,0.2,0.49,0.5594,0.2804,0.5,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.3682232060813633,56.97592285179152,0.6431805656272717,0.4625082499999999,1.4782379529999998,0.4873502554,11.579303565,10.79271158,11.5,3.5974929235,-0.2865155575,0.514019762702046,0.787732531566447,-0.861327487679783,0.4066666666666667,1989296.0
sag_Latn,sag,san,Latn,sang1328,Sango,Niger-Congo,Ubangi,1.0,0.3,0.62,0.4466,0.5096,0.5,1.0,5.0,6.0,1.0,4.0,2.0,5.0,2.0,6.0,,1.0,3.0,2.0,0.1081697701727898,18.6745639584188,0.34058547737664,,,,,,,,,,,,,329.0
san_Deva,san,,Deva,sans1269,Sanskrit,Eastern Sudanic,Eastern Nilotic,0.9,0.4,0.86,0.5552,0.5687,0.7,,,,,,,,,,,,,,0.4290350387911363,60.25002459096431,0.6513828945999229,,,,,,,,,0.5456985376171136,0.4913251121432864,,0.57,12199.0
